0000070,dorsal
0000075,dorsal
0000094,palmar
0000095,palmar
0000101,palmar
0000102,palmar
0000109,dorsal
0000111,dorsal
0000112,dorsal
0000144,palmar
0000145,palmar
0000203,dorsal
0000204,dorsal
0000205,dorsal
0000386,dorsal
0000387,dorsal
0000403,dorsal
0000404,dorsal
0000422,palmar
0000423,palmar
0000648,dorsal
0000650,dorsal
0000658,dorsal
0000659,dorsal
0000774,dorsal
0000776,dorsal
0000902,dorsal
0000903,dorsal
0000915,dorsal
0001320,palmar
0001321,palmar
0001828,palmar
0001829,palmar
0001930,palmar
0001931,palmar
0001943,palmar
0001944,palmar
0002182,palmar
0002183,palmar
0002184,palmar
0002212,dorsal
0002213,dorsal
0002214,dorsal
0002719,palmar
0002720,palmar
0003137,dorsal
0003138,dorsal
0003388,palmar
0003389,palmar
0003555,dorsal
0003556,dorsal
0003558,dorsal
0004026,dorsal
0004245,palmar
0004572,palmar
0004631,dorsal
0004632,dorsal
0004680,dorsal
0004681,dorsal
0004945,palmar
0004946,palmar
0005162,dorsal
0005163,dorsal
0005562,palmar
0005578,palmar
0005579,palmar
0005984,palmar
0005985,palmar
0005986,palmar
0006004,dorsal
0006005,dorsal
0006401,dorsal
0006575,dorsal
0006863,palmar
0006864,palmar
0007166,dorsal
0007168,dorsal
0008014,dorsal
0008016,dorsal
0008017,dorsal
0008622,dorsal
0008628,dorsal
0008885,palmar
0008886,palmar
0009376,dorsal
0009377,dorsal
0009378,dorsal
0009653,dorsal
0009654,dorsal
0009657,dorsal
0009686,dorsal
0009687,dorsal
0009791,palmar
0009810,dorsal
0010471,palmar
0010474,dorsal
0010833,palmar
0010834,palmar
0011455,palmar
0011726,dorsal
